Pressure1,Pressure2,Pressure3,Pressure4,SleepPosition
147.0,15.0,209.0,413.0,aomuke
171.0,6.0,121.0,446.0,left_yokomuki
169.0,2.0,125.0,448.0,left_yokomuki
149.0,4.0,211.0,195.0,right_yokomuki
151.0,4.0,147.0,187.0,right_yokomuki
68.0,26.0,110.0,134.0,aomuke
63.0,28.0,112.0,138.0,aomuke
136.0,8.0,121.0,314.0,left_yokomuki
129.0,6.0,123.0,321.0,left_yokomuki
147.0,13.0,118.0,308.0,left_yokomuki
74.0,44.0,85.0,354.0,right_yokomuki
26.0,19.0,13.0,435.0,right_yokomuki
74.0,37.0,90.0,332.0,right_yokomuki
39.0,77.0,48.0,602.0,aomuke
35.0,85.0,48.0,596.0,aomuke
63.0,57.0,74.0,367.0,left_yokomuki
68.0,70.0,79.0,376.0,left_yokomuki
52.0,83.0,61.0,422.0,right_yokomuki
81.0,96.0,72.0,398.0,right_yokomuki
158.0,4.0,224.0,81.0,aomuke
105.0,6.0,215.0,103.0,aomuke
103.0,8.0,235.0,90.0,left_yokomuki
101.0,6.0,228.0,90.0,left_yokomuki
94.0,4.0,222.0,90.0,left_yokomuki
83.0,41.0,261.0,99.0,right_yokomuki
77.0,39.0,261.0,96.0,right_yokomuki
74.0,39.0,259.0,96.0,right_yokomuki
55.0,63.0,66.0,59.0,aomuke
61.0,59.0,63.0,63.0,aomuke
46.0,189.0,1007.0,39.0,aomuke
22.0,63.0,114.0,74.0,left_yokomuki
26.0,66.0,112.0,70.0,left_yokomuki
17.0,63.0,110.0,77.0,left_yokomuki
85.0,70.0,30.0,99.0,right_yokomuki
81.0,68.0,22.0,96.0,right_yokomuki
77.0,63.0,24.0,88.0,right_yokomuki
11.0,138.0,59.0,242.0,aomuke
17.0,129.0,72.0,228.0,aomuke
6.0,116.0,52.0,261.0,aomuke
13.0,138.0,79.0,206.0,left_yokomuki
13.0,127.0,70.0,220.0,left_yokomuki
13.0,123.0,63.0,226.0,left_yokomuki
15.0,92.0,68.0,244.0,right_yokomuki
15.0,94.0,77.0,237.0,right_yokomuki
17.0,94.0,74.0,237.0,right_yokomuki
90.0,13.0,222.0,94.0,aomuke
107.0,15.0,222.0,92.0,aomuke
39.0,19.0,187.0,96.0,left_yokomuki
46.0,19.0,206.0,96.0,left_yokomuki
140.0,0.0,191.0,92.0,right_yokomuki
72.0,8.0,162.0,105.0,right_yokomuki
6.0,26.0,2.0,70.0,aomuke
8.0,28.0,2.0,70.0,aomuke
11.0,28.0,2.0,57.0,aomuke
0.0,28.0,41.0,33.0,left_yokomuki
0.0,28.0,41.0,33.0,left_yokomuki
22.0,30.0,59.0,77.0,right_yokomuki
22.0,33.0,61.0,92.0,right_yokomuki
0.0,26.0,59.0,11.0,aomuke
4.0,30.0,77.0,81.0,aomuke
0.0,15.0,70.0,158.0,left_yokomuki
15.0,35.0,74.0,81.0,right_yokomuki
52.0,15.0,180.0,2.0,aomuke
57.0,15.0,178.0,2.0,aomuke
35.0,17.0,233.0,50.0,left_yokomuki
35.0,17.0,231.0,50.0,left_yokomuki
15.0,4.0,235.0,48.0,right_yokomuki
17.0,4.0,233.0,50.0,right_yokomuki
19.0,19.0,15.0,132.0,aomuke
11.0,35.0,8.0,132.0,aomuke
11.0,8.0,15.0,138.0,left_yokomuki
17.0,6.0,28.0,66.0,left_yokomuki
8.0,11.0,33.0,85.0,right_yokomuki
8.0,13.0,30.0,85.0,right_yokomuki
6.0,11.0,33.0,88.0,right_yokomuki
24.0,77.0,6.0,70.0,aomuke
24.0,52.0,8.0,127.0,aomuke
35.0,70.0,8.0,99.0,left_yokomuki
35.0,72.0,8.0,94.0,left_yokomuki
39.0,72.0,8.0,61.0,left_yokomuki
2.0,2.0,17.0,19.0,right_yokomuki
0.0,2.0,13.0,17.0,right_yokomuki
68.0,22.0,74.0,59.0,aomuke
55.0,22.0,83.0,48.0,aomuke
30.0,81.0,215.0,81.0,left_yokomuki
30.0,17.0,211.0,83.0,left_yokomuki
4.0,13.0,250.0,46.0,right_yokomuki
6.0,13.0,239.0,44.0,right_yokomuki
0.0,30.0,92.0,13.0,aomuke
13.0,30.0,92.0,0.0,aomuke
15.0,46.0,88.0,52.0,left_yokomuki
26.0,35.0,85.0,66.0,left_yokomuki
13.0,0.0,198.0,61.0,right_yokomuki
61.0,6.0,118.0,83.0,right_yokomuki
22.0,77.0,44.0,171.0,aomuke
22.0,63.0,44.0,182.0,aomuke
28.0,63.0,61.0,191.0,left_yokomuki
28.0,44.0,57.0,178.0,right_yokomuki
33.0,37.0,66.0,156.0,right_yokomuki
30.0,13.0,250.0,37.0,aomuke
37.0,11.0,253.0,35.0,aomuke
37.0,11.0,253.0,35.0,aomuke
8.0,0.0,121.0,37.0,left_yokomuki
4.0,0.0,121.0,37.0,left_yokomuki
28.0,2.0,123.0,30.0,right_yokomuki
15.0,2.0,118.0,28.0,right_yokomuki
2.0,13.0,35.0,41.0,aomuke
2.0,13.0,35.0,41.0,aomuke
11.0,11.0,39.0,24.0,left_yokomuki
11.0,11.0,39.0,24.0,left_yokomuki
11.0,2.0,46.0,63.0,right_yokomuki
2.0,2.0,48.0,44.0,right_yokomuki
28.0,77.0,6.0,154.0,aomuke
28.0,88.0,506.0,477.0,aomuke
24.0,88.0,11.0,149.0,left_yokomuki
35.0,61.0,13.0,116.0,right_yokomuki
35.0,61.0,13.0,118.0,right_yokomuki
55.0,2.0,127.0,39.0,aomuke
30.0,6.0,121.0,48.0,aomuke
8.0,2.0,121.0,24.0,left_yokomuki
11.0,2.0,121.0,24.0,left_yokomuki
33.0,2.0,52.0,81.0,right_yokomuki
33.0,2.0,55.0,77.0,right_yokomuki
0.0,11.0,6.0,107.0,aomuke
6.0,88.0,8.0,154.0,aomuke
15.0,96.0,4.0,81.0,left_yokomuki
13.0,94.0,8.0,83.0,left_yokomuki
6.0,72.0,4.0,94.0,right_yokomuki
6.0,70.0,4.0,94.0,right_yokomuki
33.0,46.0,15.0,105.0,aomuke
33.0,46.0,15.0,103.0,aomuke
30.0,4.0,26.0,101.0,left_yokomuki
30.0,8.0,28.0,103.0,left_yokomuki
19.0,35.0,6.0,140.0,right_yokomuki
19.0,35.0,6.0,140.0,right_yokomuki
61.0,101.0,110.0,22.0,aomuke
57.0,103.0,110.0,22.0,aomuke
44.0,105.0,94.0,15.0,left_yokomuki
44.0,103.0,94.0,15.0,left_yokomuki
79.0,114.0,107.0,11.0,right_yokomuki
81.0,114.0,107.0,11.0,right_yokomuki
4.0,92.0,11.0,125.0,aomuke
4.0,101.0,17.0,107.0,aomuke
4.0,94.0,28.0,72.0,left_yokomuki
2.0,92.0,24.0,77.0,left_yokomuki
30.0,92.0,11.0,85.0,right_yokomuki
24.0,92.0,8.0,83.0,right_yokomuki
26.0,35.0,19.0,145.0,aomuke
33.0,0.0,19.0,99.0,aomuke
22.0,8.0,22.0,182.0,right_yokomuki
24.0,63.0,19.0,110.0,right_yokomuki
79.0,48.0,189.0,24.0,aomuke
55.0,39.0,156.0,28.0,aomuke
24.0,24.0,200.0,66.0,left_yokomuki
24.0,24.0,198.0,66.0,left_yokomuki
28.0,39.0,213.0,46.0,right_yokomuki
26.0,39.0,213.0,46.0,right_yokomuki
13.0,24.0,41.0,11.0,aomuke
11.0,22.0,39.0,19.0,aomuke
22.0,2.0,24.0,125.0,left_yokomuki
39.0,0.0,46.0,79.0,left_yokomuki
26.0,6.0,26.0,50.0,right_yokomuki
28.0,2.0,39.0,59.0,right_yokomuki
17.0,92.0,2.0,167.0,aomuke
15.0,94.0,2.0,169.0,aomuke
13.0,178.0,0.0,213.0,right_yokomuki
19.0,101.0,0.0,195.0,right_yokomuki
22.0,101.0,2.0,189.0,right_yokomuki
24.0,44.0,193.0,72.0,aomuke
28.0,178.0,1018.0,74.0,aomuke
19.0,46.0,206.0,72.0,left_yokomuki
17.0,48.0,213.0,70.0,left_yokomuki
11.0,48.0,213.0,72.0,right_yokomuki
19.0,48.0,228.0,70.0,right_yokomuki
15.0,26.0,33.0,17.0,aomuke
22.0,24.0,35.0,33.0,aomuke
33.0,33.0,37.0,55.0,left_yokomuki
33.0,33.0,37.0,55.0,left_yokomuki
37.0,17.0,30.0,79.0,right_yokomuki
37.0,17.0,30.0,79.0,right_yokomuki
28.0,92.0,11.0,103.0,aomuke
26.0,83.0,8.0,107.0,aomuke
22.0,127.0,6.0,143.0,left_yokomuki
2.0,6.0,0.0,132.0,left_yokomuki
2.0,59.0,6.0,215.0,right_yokomuki
6.0,59.0,4.0,209.0,right_yokomuki
178.0,48.0,90.0,59.0,aomuke
178.0,46.0,94.0,70.0,aomuke
178.0,46.0,85.0,70.0,aomuke
180.0,48.0,61.0,90.0,left_yokomuki
180.0,48.0,61.0,85.0,left_yokomuki
180.0,48.0,61.0,83.0,left_yokomuki
180.0,46.0,70.0,77.0,right_yokomuki
178.0,46.0,70.0,70.0,right_yokomuki
180.0,46.0,68.0,66.0,right_yokomuki
178.0,11.0,33.0,173.0,aomuke
178.0,6.0,33.0,173.0,aomuke
178.0,15.0,37.0,173.0,aomuke
176.0,0.0,35.0,178.0,left_yokomuki
176.0,2.0,46.0,178.0,left_yokomuki
176.0,2.0,52.0,178.0,left_yokomuki
176.0,4.0,46.0,178.0,right_yokomuki
176.0,2.0,46.0,178.0,right_yokomuki
50.0,61.0,26.0,66.0,aomuke
50.0,61.0,26.0,66.0,aomuke
50.0,61.0,26.0,66.0,aomuke
22.0,101.0,22.0,17.0,left_yokomuki
22.0,101.0,22.0,19.0,left_yokomuki
22.0,101.0,22.0,17.0,left_yokomuki
55.0,85.0,26.0,8.0,right_yokomuki
46.0,85.0,26.0,19.0,right_yokomuki
55.0,81.0,26.0,8.0,right_yokomuki
176.0,39.0,66.0,132.0,aomuke
176.0,41.0,70.0,125.0,aomuke
176.0,44.0,112.0,92.0,left_yokomuki
176.0,44.0,110.0,92.0,left_yokomuki
176.0,46.0,136.0,92.0,left_yokomuki
176.0,33.0,15.0,105.0,right_yokomuki
176.0,33.0,15.0,105.0,right_yokomuki
184.0,15.0,41.0,180.0,aomuke
184.0,15.0,44.0,180.0,aomuke
184.0,17.0,44.0,180.0,aomuke
180.0,198.0,992.0,165.0,left_yokomuki
182.0,50.0,17.0,173.0,left_yokomuki
182.0,50.0,17.0,173.0,left_yokomuki
184.0,17.0,81.0,180.0,right_yokomuki
184.0,17.0,77.0,180.0,right_yokomuki
184.0,15.0,74.0,180.0,right_yokomuki
26.0,88.0,24.0,13.0,aomuke
28.0,85.0,24.0,11.0,aomuke
30.0,103.0,24.0,72.0,left_yokomuki
46.0,99.0,24.0,70.0,left_yokomuki
55.0,77.0,22.0,30.0,right_yokomuki
57.0,74.0,22.0,26.0,right_yokomuki
59.0,72.0,19.0,22.0,right_yokomuki
182.0,55.0,24.0,94.0,aomuke
182.0,57.0,61.0,103.0,aomuke
182.0,55.0,22.0,96.0,aomuke
182.0,48.0,70.0,77.0,left_yokomuki
182.0,50.0,63.0,70.0,left_yokomuki
182.0,50.0,55.0,74.0,left_yokomuki
182.0,57.0,66.0,37.0,left_yokomuki
182.0,59.0,57.0,33.0,left_yokomuki
182.0,57.0,55.0,37.0,left_yokomuki
182.0,4.0,22.0,167.0,aomuke
182.0,4.0,22.0,167.0,aomuke
182.0,4.0,26.0,167.0,aomuke
182.0,41.0,70.0,167.0,left_yokomuki
182.0,44.0,68.0,167.0,left_yokomuki
182.0,17.0,24.0,127.0,right_yokomuki
182.0,15.0,24.0,127.0,right_yokomuki
112.0,57.0,11.0,184.0,aomuke
112.0,57.0,11.0,184.0,aomuke
112.0,57.0,11.0,184.0,aomuke
13.0,116.0,19.0,41.0,left_yokomuki
13.0,116.0,19.0,41.0,left_yokomuki
13.0,118.0,19.0,39.0,left_yokomuki
50.0,83.0,11.0,22.0,right_yokomuki
48.0,88.0,11.0,19.0,right_yokomuki
176.0,35.0,107.0,83.0,aomuke
176.0,35.0,110.0,81.0,aomuke
176.0,33.0,107.0,83.0,aomuke
176.0,63.0,77.0,99.0,left_yokomuki
176.0,63.0,79.0,96.0,left_yokomuki
176.0,66.0,103.0,96.0,left_yokomuki
176.0,63.0,112.0,46.0,right_yokomuki
176.0,63.0,112.0,48.0,right_yokomuki
176.0,63.0,105.0,46.0,right_yokomuki
176.0,0.0,8.0,182.0,aomuke
171.0,6.0,15.0,182.0,aomuke
171.0,4.0,13.0,182.0,aomuke
114.0,22.0,22.0,121.0,left_yokomuki
114.0,22.0,17.0,114.0,left_yokomuki
116.0,22.0,17.0,112.0,left_yokomuki
125.0,22.0,28.0,149.0,right_yokomuki
125.0,24.0,28.0,151.0,right_yokomuki
121.0,24.0,28.0,143.0,right_yokomuki
35.0,55.0,4.0,13.0,aomuke
35.0,52.0,4.0,17.0,aomuke
39.0,61.0,6.0,15.0,aomuke
22.0,61.0,6.0,35.0,left_yokomuki
26.0,63.0,6.0,28.0,left_yokomuki
24.0,66.0,6.0,30.0,left_yokomuki
8.0,33.0,2.0,66.0,right_yokomuki
8.0,33.0,2.0,66.0,right_yokomuki
8.0,30.0,2.0,66.0,right_yokomuki
